ID,Caption,CUIs,CUI_caption,keywords
ROCOv2_2023_train_000141,Large cervicomediastinal mass (coronal view).,C0040405,X-Ray Computed Tomography,"X-ray, Chest, Coronal view, Large mass"
ROCOv2_2023_train_000142,Postthyroidectomy airway.,C0040405,X-Ray Computed Tomography,"Computed Tomography Scan, Neck, Posterior View, Postthyroidectomy Airway."
ROCOv2_2023_train_000143,Radiographic example of acceptable root canal obturation.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Plain View, Normal"
ROCOv2_2023_train_000146,Simple lateral skull X-ray shows the bony cleft due to the previous craniotomy.,C1306645;C0037303;C0205129,Plain x-ray;Bone structure of cranium;Sagittal,"X-ray, Skull, Lateral view, Normal"
ROCOv2_2023_train_000159,A transverse view of the CT scan showing a subdiaphragmatic collection (red arrow).CT: Computed tomography.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Transverse View, Subdiaphragmatic Collection"
ROCOv2_2023_train_000160,A sagittal view of the CT scan showing a subdiaphragmatic collection (red arrows).CT: Computed tomography.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Sagittal View, Subdiaphragmatic Collection"
ROCOv2_2023_train_000178,"Anterior chest X-ray of the centenarian patient showed a thickening of the peribronchial and bronchilovascular interstitium, probably due to interstitial disease.",C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Front View, Thickened Interstitium."
ROCOv2_2023_train_000182,Chest x-ray showing bilateral diffuse non-homogenous opacities.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-anterior View, Bilateral diffuse non-homogenous opacities."
ROCOv2_2023_train_000204,Chest X-ray posterior-anterior view showing no features that indicate a mass lesion.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Posterior-to-Anterior, Normal"
ROCOv2_2023_train_000206,"Computer tomography findings at diagnosis, showing large mediastinal mass (arrow).",C0040405,X-Ray Computed Tomography,"Computed Tomography, Mediastinum, Side View of Image, Large Mass."
ROCOv2_2023_train_000211,Chest radiograph shows focal consolidation of the right lower lung.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Lung, Postero-Anterior, Focal consolidation of the right lower lung."
ROCOv2_2023_train_000213,A preoperative panoramic radiograph.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Panoramic View, Normal"
ROCOv2_2023_train_000214,Panoramic radiograph at 60-month follow-up.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Panoramic View, Normal"
ROCOv2_2023_train_000228,cervical CT axial view: increased angulation of the right C1 anterior arch fracture (blue arrow),C0040405,X-Ray Computed Tomography,"X-ray, Cervical Spine, Axial View, Fracture"
ROCOv2_2023_train_000231,"Centre Head – Centre base (CC) measuring method, pre- and postoperative site.",C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Lower Extremity, Anterior-Posterior, Normal."
ROCOv2_2023_train_000232,Shaft bisection (SB) measuring method.,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"Plain X-ray, Lower Extremity, Bottom, Normal."
ROCOv2_2023_train_000239,Postoperative plain radiograph. Hybrid THA was performed on both hips.,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Hip, Backside, Normal"
ROCOv2_2023_train_000257,"The isodose curve distribution of tumor after seed implantation from CT scan. The inner red curve represents tumor. The ellipses are iso-dose lines of 200, 145, 120 and 45 Gy from inside, respectively.",C0040405;C0027651,X-Ray Computed Tomography;Neoplasms,"X-ray Computed Tomography of Pelvis, Pelvis, Frontal View, Normal."
ROCOv2_2023_train_000266,Thin-layer computed tomography demonstrating a small thickening of the right mid ureter.,C0040405,X-Ray Computed Tomography,"X-ray Computed Tomography, Urinary System, Thin-layer view, Normal."
ROCOv2_2023_train_000271,Pretreatment chest X-ray.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000272,Posttreatment chest X-ray.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000273,Posttreatment CT scan.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Posterior Thorax, Whole Body, Normal"
ROCOv2_2023_train_000278,A cross-sectional slice of CT abdomen showing left colonic mass with extramural extension.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Cross-sectional slice, Mass with extramural extension."
ROCOv2_2023_train_000303,Graphical user interface of the computer-aided detection system.,C1306645;C0030797;C1999039,Plain x-ray;Pelvis;Anterior-Posterior,"Plain X-ray, Pelvis, Side View, Normal"
ROCOv2_2023_train_000329,Post-operative computed tomography scan showing successful craniotomy.,C0040405,X-Ray Computed Tomography,"Computed Tomography Scan, Head, Post-operative View, Normal."
ROCOv2_2023_train_000332,Immediate postoperative chest AP using inhaled NO shows stationary state.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-anterior, Normal"
ROCOv2_2023_train_000348,Post craniotomy,C0040405,X-Ray Computed Tomography,"X-ray, Skull, Post-operative, Normal"
ROCOv2_2023_train_000350,Plain radiograph at admission.,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Lower Extremity, Anterior-Posterior, Normal"
ROCOv2_2023_train_000357,"The local anesthetic spread following injection. LA, local anesthetic",C0041618,Ultrasonography,"X-ray, Nerve, Spread, Normal"
ROCOv2_2023_train_000369,CT scan after surgical oncology showing right radical adrenalectomy and total omentectomy.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Frontal View, Normal."
ROCOv2_2023_train_000375,Plain radiographs-1 year follow-up with no evidence of recurrence.,C1306645;C0037949;C0205129,Plain x-ray;Vertebral column;Sagittal,"X-ray, Spine, Sagittal View, Normal."
ROCOv2_2023_train_000382,Preoperatory radiography,C1306645;C0030797;C1999039,Plain x-ray;Pelvis;Anterior-Posterior,"X-ray, Pelvis, Front-to-Back, Normal"
ROCOv2_2023_train_000383,Postoperatory radiographic control,C1306645;C0030797;C1999039,Plain x-ray;Pelvis;Anterior-Posterior,"X-ray, Pelvis, Anterior-Posterior, Normal"
ROCOv2_2023_train_000392,Preoperative Radiograph AP.,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Lower Extremity, Anterior-Posterior, Normal"
ROCOv2_2023_train_000393,Postoperative Radiograph AP view.,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Lower Extremity, Anterior-Posterior, Postoperative."
ROCOv2_2023_train_000407,Plain abdominal radiographs suggested subileus.,C1306645;C0000726;C1999039,Plain x-ray;Abdomen;Anterior-Posterior,"X-ray, Abdomen, Anterior-Posterior, Subileus."
ROCOv2_2023_train_000408,Abdominal CT on Day 7 after the surgery showed that HPVG had disappeared.,C0040405,X-Ray Computed Tomography,X-ray computed tomography of abdomen from side shows normal."
ROCOv2_2023_train_000412,Chest X-ray at completion of treatment.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000423,Lead break during transvenous lead extraction as assessed by fluoroscopy,C1306645;C0000726,Plain x-ray;Abdomen,"Fluoroscopy, Abdomen, Bottom View, Normal."
ROCOv2_2023_train_000425,CT scan image showing polypoidal lesion at ileocaecal junction.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Intestine, Junctional View, Polypoidal Lesion"
ROCOv2_2023_train_000426,Preoperative CT scan image of the patient (lung window) which shows the extend of bullous disease.,C0040405,X-Ray Computed Tomography,"Computed Tomography Image of the Thorax, Lung, Frontal View, Bullous Disease."
ROCOv2_2023_train_000427,Computed tomography (CT) scan: a high-grade distal small bowel obstruction with a transitional zone in the left lower abdomen,C0040405;C0000726,X-Ray Computed Tomography;Abdomen,"Computed Tomography, Abdomen, Cross-Sectional View, Small Bowel Obstruction."
ROCOv2_2023_train_000432,Preoperative CT scan showing diffuse retroperitoneal fibrosis.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Retroperitoneum, Above, Fibrosis."
ROCOv2_2023_train_000438,Final one year follow-up anteroposterior radiographic view showing anatomic alignment and consolidation across the arthrodesis sites.,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Lower Extremity, Anteroposterior View, Normal."
ROCOv2_2023_train_000439,Lateral radiographic view showing anatomic alignment and consolidation across the arthrodesis sites.,C1306645;C0023216;C0205129,Plain x-ray;Lower Extremity;Sagittal,"X-ray, Lower Extremity, Sagittal view, Normal."
ROCOv2_2023_train_000446,Chest x-ray on postoperative day one shows interval complete resection of the mass. A right-sided chest tube is also seen in situ.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-anterior, Normal."
ROCOv2_2023_train_000461,"Panoramic radiograph: Patient: 66 years old, male, secondary osteoporosis due to castration, alendronate. Red arrow indicates the almost invisible fracture. The computed tomography (CT) scan is shown in Figure 6 and the corresponding single photon emission computed tomography (SPECT) and SPECT/CT images in Figure 8 and Figure 9 respectively. AAMOS staging: stage 3.",C1306645;C0037303,Plain x-ray;Bone structure of cranium,"Panoramic X-ray, Cranium, Bottom, Normal"
ROCOv2_2023_train_000463,An anteroposterior chest radiograph at admission demonstrating bilateral interstitial infiltrates.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Anterior-Posterior, Bilateral interstitial infiltrates."
ROCOv2_2023_train_000471,CT scan of abdomen showing extent of primary tumour.,C0040405;C0027651,X-Ray Computed Tomography;Neoplasms,"Computed Tomography Scan, Abdomen, Showing Extent of Primary Tumour, Normal."
ROCOv2_2023_train_000472,CT scan of abdomen showing local recurrence of the tumour.,C0040405;C0027651,X-Ray Computed Tomography;Neoplasms,"Computed Tomography, Abdomen, Frontal View, Local Recurrence of Tumour."
ROCOv2_2023_train_000473,CT scan of abdomen showing liver metastases.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Liver, Image of Abdomen, Metastases"
ROCOv2_2023_train_000476,Chest X-Ray (Antero-posterior view) taken in the intensive care unit on the second day of admission.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Anterior-Posterior, Normal."
ROCOv2_2023_train_000483,Splenomegaly,C0040405,X-Ray Computed Tomography,"X-ray, Spleen, Frontal View of Spleen, Normal"
ROCOv2_2023_train_000496,CT showing SMA dorsal to SMV.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Spine, Dorsal View, Normal"
ROCOv2_2023_train_000529,Showing a large well defined mass of 9.8 × 7.4 cms along with displacement of the bowel loops,C0040405,X-Ray Computed Tomography,"X-ray, Abdomen, Well-defined mass on side, Normal."
ROCOv2_2023_train_000530,Abdominal CT scan of the patient shows heterogeneous right adrenal mass.,C0040405,X-Ray Computed Tomography,"X-ray Computed Tomography, Adrenal Glands, Right side, Heterogeneous mass."
ROCOv2_2023_train_000532,"Anterior-posterior View After 7 Months of Weight Bearing in the Extension Brace, Showing Improved Bone Quality",C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Lower Extremity, Anterior-Posterior View, Normal"
ROCOv2_2023_train_000560,Coronal CT scan of the abdomen and pelvis showing a pseudokidney mass (arrow).,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen and Pelvis, Coronal View, Pseudokidney Mass."
ROCOv2_2023_train_000584,Computed tomography image from case 1 showing a small left loculated pleural effusion with some evidence of pleural thickening.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Pleura, Side, Small effusion with pleural thickening."
ROCOv2_2023_train_000587,Chest radiography from case 2 showing extensive surgical emphysema.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Surgical Emphysema."
ROCOv2_2023_train_000591,Chest radiography from case 3.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000600,Chest CT of the patient at the time of tuberculosis diagnosis with air bronchograms (yellow arrows) and pulmonary nodules (orange arrows).,C0040405,X-Ray Computed Tomography,"X- Ray, Chest, Front View of Image, Tuberculosis."
ROCOv2_2023_train_000619,Chest radiograph showing a right pneumothorax.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior View of Right Pneumothorax."
ROCOv2_2023_train_000620,Chest radiograph showing a recurrent right pneumothorax.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-Anterior View, Recurrent Pneumothorax."
ROCOv2_2023_train_000623,"The abdominal postcontrast enhanced CT scan. This scan revealed no obvious enhancement of the mass, but showed a clear demarcation of the tumor from its surrounding normal tissues and a regular shape of the tumor (arrow). CT = computed tomography.",C0040405;C0027651,X-Ray Computed Tomography;Neoplasms,"X-ray computed tomography, Abdomen, Postcontrast enhanced, Normal."
ROCOv2_2023_train_000624,X-ray showing destruction and amputation of fingers in a child suffering from congenital insensitivity to pain with anhydrosis,C1306645;C1140618;C1999039,Plain x-ray;Upper Extremity;Anterior-Posterior,"X-ray, Fingers, Anterior-Posterior, Congenital insensitivity to pain with anhydrosis."
ROCOv2_2023_train_000646,Lateral view of the cervical radiograph showing atlantoaxial subluxation in the flexion position.,C1306645;C0037949;C0205129,Plain x-ray;Vertebral column;Sagittal,"X-ray, Vertebral column, Lateral view, Atlantoaxial subluxation."
ROCOv2_2023_train_000649,X-ray chest showing anterior mediastinal mass,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Anterior Mediastinal Mass Normal"
ROCOv2_2023_train_000650,Computed tomography thorax showing inhomogeneously enhancing mass lesion involving the entire right hemithorax,C0040405;C0817096,X-Ray Computed Tomography;Chest,"Computed Tomography, Thorax, Whole Side View, Mass Lesion."
ROCOv2_2023_train_000651,"In contrast to the clinical picture, this Axial CT scan image, performed during an inadvertent Valsalva manoeuvre, shows only minimal left enophthalmos (highlighted by the broken lines).",C0040405,X-Ray Computed Tomography,"X-ray Computed Tomography, Face, Axial, Minimal left enophthalmos."
ROCOv2_2023_train_000653,Abdominal CT scan showing an infrarenal atheroscleroting aortic aneurysm of 38 mm with periaortitis.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Infrarenal View, Aortic Aneurysm with Periaortitis."
ROCOv2_2023_train_000657,Computed tomography showing small focal lesion (arrow) originally suspected to be a neoplastic lesion,C0040405,X-Ray Computed Tomography,"Computed tomography, Chest, Cross-sectional, Normal"
ROCOv2_2023_train_000664,Right phthisical eye.,C0040405,X-Ray Computed Tomography,"X-Ray, Right Eye, Side View of Normal."
ROCOv2_2023_train_000666,Figure 1: double bubble sign,C1306645;C1999039,Plain x-ray;Anterior-Posterior,"X-ray, Chest, Front-to-back, Double bubble sign."
ROCOv2_2023_train_000679,The fixation of arthrodesis by two memory staples on X-ray. Radiograph shows the healed arthrodesis three years after the procedure.,C1306645;C0023216;C0205129,Plain x-ray;Lower Extremity;Sagittal,"X-ray, Lower Extremity, Sagittal, Normal"
ROCOv2_2023_train_000683,Computed tomography of the lungs showing micronodules,C0040405,X-Ray Computed Tomography,"Computed Tomography, Lungs, Whole, Micronodules Normal"
ROCOv2_2023_train_000685,Anteroposterior left ACJ radiograph demonstrating Rockwood V ACJ dislocation.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Shoulder, Anterior-Posterior, Rockwood V ACJ dislocation."
ROCOv2_2023_train_000687,Anteroposterior left ACJ radiograph two months after re-do LARS implantation showing anatomically reduced ACJ.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Left Arm, Anteroposterior View, Anatomically Reduced Joint Condition."
ROCOv2_2023_train_000722,Virtual Reality reconstruction of twins A and B.,C0040405,X-Ray Computed Tomography,"Virtual Reality Reconstruction, Twins, Frontal View of Skull, Normal."
ROCOv2_2023_train_000723,Panoramic view.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"Panoramic X-ray, Cranium, Panoramic View, Normal"
ROCOv2_2023_train_000724,Periapical view of the treated canal.,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Periapical view, Normal"
ROCOv2_2023_train_000730,Brain CT scan showing a slight hypodense area in the right internal capsula (red arrow).,C0024485,Magnetic Resonance Imaging,"Computed Tomography, Brain, Side View of Image, Slight Hypodense Area"
ROCOv2_2023_train_000739,Radiographic X-Ray revealed dilated bowel loops but no air-fluid levels or pelvic gas,C1306645;C0000726;C0444611;C0030797,Plain x-ray;Abdomen;Fluid behavior;Pelvis,"X-ray, Abdomen, View from Bottom, Dilated Bowel Loops"
ROCOv2_2023_train_000758,Abdominal CT is completely normal before the bronchial artery embolization.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Normal, Abdominal."
ROCOv2_2023_train_000761,The chest X-ray image revealed bilaterally increased non-homogeneous density on all zones,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-Anterior, Bilaterally increased non-homogeneous density on all zones."
ROCOv2_2023_train_000762,High resolution computerized tomography (HRCT) image of the patient,C0040405,X-Ray Computed Tomography,"X-Ray, Chest, High resolution computerized tomography image, Normal."
ROCOv2_2023_train_000763,Radiological recovery of the patient on chest X-ray,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000782,CT scan of situs inversus,C0040405,X-Ray Computed Tomography,"Computed Tomography, Chest, Internal View, Normal"
ROCOv2_2023_train_000789,A standing X ray radiograph of a patient with bilateral hallux rigidus that was considered as severe,C1306645;C0023216;C1999039,Plain x-ray;Lower Extremity;Anterior-Posterior,"X-ray, Foot, Anterior-Posterior, Hallux Rigidus"
ROCOv2_2023_train_000791,Panoramic radiograph showing multilocular radiolucent lesion in ascending ramus,C1306645;C0037303,Plain x-ray;Bone structure of cranium,"X-ray, Cranium, Panoramic, Multilocular radiolucent lesion in ascending ramus."
ROCOv2_2023_train_000792,An abdominopelvic computed tomography scan showing a 3.5-cm-mass in the liver that demonstrated strong enhancement following the intravenous administration of contrast material.,C0040405;C0023884,X-Ray Computed Tomography;Liver,"Computed Tomography, Liver, Cross-Sectional View, Abnormal"
ROCOv2_2023_train_000793,18F-2-deoxy-2-fluoro-D-glucose (FDG) positron emission tomography image showing intense FDG uptake in the liver.,C0024485;C0023884,Magnetic Resonance Imaging;Liver,"Positron emission tomography image, Liver, Above, Normal."
ROCOv2_2023_train_000799,"A typical transverse slice showing the distributions of 125I seeds and isodose curves after seed implantation from CT scan. The isodose lines shown are 300 Gy (brown), 160 Gy (red), 100 Gy (blue), 80 Gy (green) and 40 Gy (yellow). PTV and 125I seeds are shown in light grey circle and blue dots, respectively.",C0024485,Magnetic Resonance Imaging,"X-ray, Prostate, Transverse slice, Normal"
ROCOv2_2023_train_000807,X-ray of participant stumps with computerized preparation for the osseointergration procedure.,C1306645;C0030797;C1999039,Plain x-ray;Pelvis;Anterior-Posterior,"X-ray, Pelvis, Plain X-ray from Bottom, Normal"
ROCOv2_2023_train_000809,Normal esophagography.,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Postero-Anterior, Normal"
ROCOv2_2023_train_000815,7.14.18: CTAP w/IV and PO contrast: largely resolved pneumatosis.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, Cross-sectional view of Image, Largely resolved pneumatosis."
ROCOv2_2023_train_000829,Preoperative Radiographs Showing Unstable Distal End Radius Fracture,C1306645;C1140618;C1999039,Plain x-ray;Upper Extremity;Anterior-Posterior,"X-ray, Upper Extremity, Anterior-Posterior, Unstable distal end radius fracture."
ROCOv2_2023_train_000851,First scan: axial CT scan with 40cc intravenous contrast.,C0040405,X-Ray Computed Tomography,"X-Ray Computed Tomography, Whole Body, Axial View, Normal"
ROCOv2_2023_train_000852,Second scan: 24 hours. After first scan. Arterial phase axial CT scan with 100cc I.V. contrast.,C0040405,X-Ray Computed Tomography,"Computed Tomography Image, Abdomen, Axial View, Normal."
ROCOv2_2023_train_000853,Third scan: additional 100cc I.V. contrast after second scan.,C0040405,X-Ray Computed Tomography,"Computed Tomography, Abdomen, X-ray, Normal"
ROCOv2_2023_train_000859,"Slit-like IVC from hypovolaemia. Axial-enhanced CT image demonstrates a slit-like IVC or ‘flat cava’ sign (arrow), consistent with the patient’s clinically evident hypovolaemia following surgery",C0040405,X-Ray Computed Tomography,"Computed Tomography, Inferior Vena Cava, Axial View of, Slit-like shape due to hypovolaemia."
ROCOv2_2023_train_000861,Chest X-ray suggestive of right side infiltrates/haze in lung bases.,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Front-to-back, Infiltrates/haze in lung bases."
ROCOv2_2023_train_000875,"Computed tomography view. This shows thinning of peripheral bone was observed, with the bone lacking continuity in some areas.",C0040405,X-Ray Computed Tomography,"X-ray, Bone, Computed tomography view, Thinning of peripheral bone was observed, Normal"
ROCOv2_2023_train_000881,Chest radiograph immediately after intubation,C1306645;C0817096;C1996865,Plain x-ray;Chest;Postero-Anterior,"X-ray, Chest, Posterior-anterior view, Normal."
ROCOv2_2023_train_000882,Chest radiograph before laparatomy and chest tube drainage revealing left sided hydropneumothorax,C1306645;C0817096;C1999039,Plain x-ray;Chest;Anterior-Posterior,"X-ray, Chest, Front-to-Back, Hydropneumothorax on left side."
ROCOv2_2023_train_000904,7-months postoperative follow-up plain AP view.,C1306645;C1140618;C1999039,Plain x-ray;Upper Extremity;Anterior-Posterior,"X-ray, Upper Extremity, Anterior-Posterior, Normal"
ROCOv2_2023_train_000913,Postoperative plain radiographs.,C1306645;C0030797;C1999039,Plain x-ray;Pelvis;Anterior-Posterior,"X-ray, Pelvis, Bottom View, Postoperative Normal"
